Year,Month,Day,Hour,Decimal Year,T
1940,1,1,0,1940,-3.9695274
1940,1,1,6,1940.0007,-11.716994
1940,1,1,12,1940.0014,-13.996073
1940,1,1,18,1940.002,-5.4731591
1940,1,2,0,1940.0027,-8.0515636
1940,1,2,6,1940.0034,-12.41192
1940,1,2,12,1940.0041,-13.35541
1940,1,2,18,1940.0048,-9.0720726
1940,1,3,0,1940.0055,-10.307886
1940,1,3,6,1940.0061,-14.281395
1940,1,3,12,1940.0068,-14.442436
1940,1,3,18,1940.0075,-9.0335629
1940,1,4,0,1940.0082,-10.272877
1940,1,4,6,1940.0089,-16.0721
1940,1,4,12,1940.0096,-15.998581
1940,1,4,18,1940.0102,-8.573196
1940,1,5,0,1940.0109,-14.342661
1940,1,5,6,1940.0116,-17.262402
1940,1,5,12,1940.0123,-21.507229
1940,1,5,18,1940.013,-5.4714086
1940,1,6,0,1940.0137,-7.88002
1940,1,6,6,1940.0143,-8.4331604
1940,1,6,12,1940.015,-14.136108
1940,1,6,18,1940.0157,-10.978307
1940,1,7,0,1940.0164,-12.656983
1940,1,7,6,1940.0171,-19.179138
1940,1,7,12,1940.0178,-21.915083
1940,1,7,18,1940.0184,-11.244374
1940,1,8,0,1940.0191,-17.929321
1940,1,8,6,1940.0198,-20.299423
1940,1,8,12,1940.0205,-18.289912
1940,1,8,18,1940.0212,-5.571184
1940,1,9,0,1940.0219,-13.252134
1940,1,9,6,1940.0225,-19.562485
1940,1,9,12,1940.0232,-22.996857
1940,1,9,18,1940.0239,-6.5636859
1940,1,10,0,1940.0246,-16.637493
1940,1,10,6,1940.0253,-22.308933
1940,1,10,12,1940.026,-19.662261
1940,1,10,18,1940.0266,-3.2781019
1940,1,11,0,1940.0273,-12.009318
1940,1,11,6,1940.028,-18.08511
1940,1,11,12,1940.0287,-20.978595
1940,1,11,18,1940.0294,-1.9320102
1940,1,12,0,1940.0301,-10.225615
1940,1,12,6,1940.0307,-9.6602219
1940,1,12,12,1940.0314,-6.7544843
1940,1,12,18,1940.0321,-3.6194385
1940,1,13,0,1940.0328,-3.1695743
1940,1,13,6,1940.0335,-3.022537
1940,1,13,12,1940.0342,-3.8137379
1940,1,13,18,1940.0348,-0.70494873
1940,1,14,0,1940.0355,-2.0300351
1940,1,14,6,1940.0362,-3.4146366
1940,1,14,12,1940.0369,-4.3493738
1940,1,14,18,1940.0376,-1.6169302
1940,1,15,0,1940.0383,-2.1140564
1940,1,15,6,1940.0389,-1.0217792
1940,1,15,12,1940.0396,-0.26908809
1940,1,15,18,1940.0403,1.1610249
1940,1,16,0,1940.041,-0.35310942
1940,1,16,6,1940.0417,-4.5401723
1940,1,16,12,1940.0423,-8.4104047
1940,1,16,18,1940.043,-10.034817
1940,1,17,0,1940.0437,-11.421169
1940,1,17,6,1940.0444,-16.847546
1940,1,17,12,1940.0451,-19.593993
1940,1,17,18,1940.0458,-14.683997
1940,1,18,0,1940.0464,-17.089108
1940,1,18,6,1940.0471,-21.395201
1940,1,18,12,1940.0478,-19.751533
1940,1,18,18,1940.0485,-10.587957
1940,1,19,0,1940.0492,-10.736745
1940,1,19,6,1940.0499,-12.560708
1940,1,19,12,1940.0505,-13.761513
1940,1,19,18,1940.0512,-9.8317655
1940,1,20,0,1940.0519,-13.540957
1940,1,20,6,1940.0526,-16.646245
1940,1,20,12,1940.0533,-19.758535
1940,1,20,18,1940.054,-9.1928533
1940,1,21,0,1940.0546,-13.39392
1940,1,21,6,1940.0553,-17.80854
1940,1,21,12,1940.056,-14.77502
1940,1,21,18,1940.0567,-6.3676361
1940,1,22,0,1940.0574,-5.0845604
1940,1,22,6,1940.0581,-7.4756674
1940,1,22,12,1940.0587,-8.2651178
1940,1,22,18,1940.0594,-4.7764822
1940,1,23,0,1940.0601,-6.1943421
1940,1,23,6,1940.0608,-10.005059
1940,1,23,12,1940.0615,-17.047097
1940,1,23,18,1940.0622,-7.7609898
1940,1,24,0,1940.0628,-12.879289
1940,1,24,6,1940.0635,-16.273401
1940,1,24,12,1940.0642,-17.029593
1940,1,24,18,1940.0649,-8.6327111
1940,1,25,0,1940.0656,-10.908289
1940,1,25,6,1940.0663,-13.411424
1940,1,25,12,1940.0669,-16.066848
1940,1,25,18,1940.0676,-7.316377
1940,1,26,0,1940.0683,-8.9600442
1940,1,26,6,1940.069,-12.152855
1940,1,26,12,1940.0697,-12.40842
1940,1,26,18,1940.0704,-7.1098245
1940,1,27,0,1940.071,-10.379655
1940,1,27,6,1940.0717,-15.68
1940,1,27,12,1940.0724,-16.651497
1940,1,27,18,1940.0731,-11.134096
1940,1,28,0,1940.0738,-13.054333
1940,1,28,6,1940.0745,-16.520213
1940,1,28,12,1940.0751,-15.618734
1940,1,28,18,1940.0758,-10.743747
1940,1,29,0,1940.0765,-12.734002
1940,1,29,6,1940.0772,-16.401183
1940,1,29,12,1940.0779,-19.46096
1940,1,29,18,1940.0786,-5.9370268
1940,1,30,0,1940.0792,-10.607212
1940,1,30,6,1940.0799,-16.6655
1940,1,30,12,1940.0806,-18.128872
1940,1,30,18,1940.0813,-4.0185398
1940,1,31,0,1940.082,-10.111837
1940,1,31,6,1940.0827,-14.14486
1940,1,31,12,1940.0833,-15.897055
1940,1,31,18,1940.084,-3.9065114
1940,2,1,0,1940.0847,-9.1070815
1940,2,1,6,1940.0854,-14.291898
1940,2,1,12,1940.0861,-13.479691
1940,2,1,18,1940.0867,-2.4308868
1940,2,2,0,1940.0874,-8.6817235
1940,2,2,6,1940.0881,-11.363404
1940,2,2,12,1940.0888,-12.80577
1940,2,2,18,1940.0895,-5.9282746
1940,2,3,0,1940.0902,-12.25438
1940,2,3,6,1940.0908,-15.256392
1940,2,3,12,1940.0915,-16.656748
1940,2,3,18,1940.0922,-11.974309
1940,2,4,0,1940.0929,-11.279383
1940,2,4,6,1940.0936,-13.294144
1940,2,4,12,1940.0943,-17.073354
1940,2,4,18,1940.0949,-8.0008007
1940,2,5,0,1940.0956,-12.628976
1940,2,5,6,1940.0963,-17.629995
1940,2,5,12,1940.097,-19.404946
1940,2,5,18,1940.0977,-1.8269835
1940,2,6,0,1940.0984,-8.9337875
1940,2,6,6,1940.099,-14.673494
1940,2,6,12,1940.0997,-16.397682
1940,2,6,18,1940.1004,2.0922613
1940,2,7,0,1940.1011,-0.27083853
1940,2,7,6,1940.1018,0.55537119
1940,2,7,12,1940.1025,2.9447277
1940,2,7,18,1940.1031,2.5158688
1940,2,8,0,1940.1038,-0.062535659
1940,2,8,6,1940.1045,-1.1950731
1940,2,8,12,1940.1052,-3.5966828
1940,2,8,18,1940.1059,-1.1548129
1940,2,9,0,1940.1066,-3.0557955
1940,2,9,6,1940.1072,-5.1335729
1940,2,9,12,1940.1079,-3.1940806
1940,2,9,18,1940.1086,-2.2926017
1940,2,10,0,1940.1093,-9.7687495
1940,2,10,6,1940.11,-9.1700975
1940,2,10,12,1940.1107,-7.7417349
1940,2,10,18,1940.1113,-2.6496924
1940,2,11,0,1940.112,-2.1928264
1940,2,11,6,1940.1127,-0.96751538
1940,2,11,12,1940.1134,0.19477966
1940,2,11,18,1940.1141,1.6739051
1940,2,12,0,1940.1148,0.9702265
1940,2,12,6,1940.1154,-3.2553461
1940,2,12,12,1940.1161,-6.512923
1940,2,12,18,1940.1168,1.0910072
1940,2,13,0,1940.1175,0.38557809
1940,2,13,6,1940.1182,0.7531714
1940,2,13,12,1940.1189,-6.9802917
1940,2,13,18,1940.1195,-4.1585754
1940,2,14,0,1940.1202,-9.6987317
1940,2,14,6,1940.1209,-12.700744
1940,2,14,12,1940.1216,-11.42642
1940,2,14,18,1940.1223,-5.3138686
1940,2,15,0,1940.123,-2.9787759
1940,2,15,6,1940.1236,-4.8429991
1940,2,15,12,1940.1243,-10.113587
1940,2,15,18,1940.125,-6.4429052
1940,2,16,0,1940.1257,-8.0620662
1940,2,16,6,1940.1264,-8.6239589
1940,2,16,12,1940.127,-11.82027
1940,2,16,18,1940.1277,-6.7422312
1940,2,17,0,1940.1284,-8.6239589
1940,2,17,6,1940.1291,-8.7832493
1940,2,17,12,1940.1298,-9.9227886
1940,2,17,18,1940.1305,-1.7307091
1940,2,18,0,1940.1311,-5.4031413
1940,2,18,6,1940.1318,-7.8502625
1940,2,18,12,1940.1325,-11.421169
1940,2,18,18,1940.1332,2.2077906
1940,2,19,0,1940.1339,-0.83973294
1940,2,19,6,1940.1346,-2.1490653
1940,2,19,12,1940.1352,-3.6001836
1940,2,19,18,1940.1359,-0.76971517
1940,2,20,0,1940.1366,-2.6969544
1940,2,20,6,1940.1373,-2.8387404
1940,2,20,12,1940.138,-3.1573212
1940,2,20,18,1940.1387,-0.95001093
1940,2,21,0,1940.1393,-1.3788698
1940,2,21,6,1940.14,-2.033536
1940,2,21,12,1940.1407,-4.3388712
1940,2,21,18,1940.1414,-2.8212359
1940,2,22,0,1940.1421,-8.8532671
1940,2,22,6,1940.1428,-13.108597
1940,2,22,12,1940.1434,-16.441443
1940,2,22,18,1940.1441,-3.6596988
1940,2,23,0,1940.1448,-4.8219938
1940,2,23,6,1940.1455,-10.743747
1940,2,23,12,1940.1462,-15.0901
1940,2,23,18,1940.1469,-3.3498701
1940,2,24,0,1940.1475,-5.4328989
1940,2,24,6,1940.1482,-9.9052841
1940,2,24,12,1940.1489,-13.505948
1940,2,24,18,1940.1496,-5.0898118
1940,2,25,0,1940.1503,-4.8832593
1940,2,25,6,1940.151,-3.573927
1940,2,25,12,1940.1516,-2.8825015
1940,2,25,18,1940.1523,-2.1945769
1940,2,26,0,1940.153,-6.9715394
1940,2,26,6,1940.1537,-11.629472
1940,2,26,12,1940.1544,-14.146611
1940,2,26,18,1940.1551,-8.7587431
1940,2,27,0,1940.1557,-12.914298
1940,2,27,6,1940.1564,-17.276405
1940,2,27,12,1940.1571,-19.18614
1940,2,27,18,1940.1578,-5.4118935
1940,2,28,0,1940.1585,-8.2791213
1940,2,28,6,1940.1592,-9.5236873
1940,2,28,12,1940.1598,-10.349897
1940,2,28,18,1940.1605,-4.8097407
1940,2,29,0,1940.1612,-4.6434485
1940,2,29,6,1940.1619,-7.6559632
1940,2,29,12,1940.1626,-12.865285
1940,2,29,18,1940.1633,-1.371868
1940,3,1,0,1940.1639,-5.067056
1940,3,1,6,1940.1646,-8.9933026
1940,3,1,12,1940.1653,-8.8795237
1940,3,1,18,1940.166,-3.1310646
1940,3,2,0,1940.1667,-9.625213
1940,3,2,6,1940.1673,-15.921561
1940,3,2,12,1940.168,-17.153874
1940,3,2,18,1940.1687,-3.8364936
1940,3,3,0,1940.1694,-6.1803386
1940,3,3,6,1940.1701,-6.5339283
1940,3,3,12,1940.1708,-7.8835209
1940,3,3,18,1940.1714,0.88970606
1940,3,4,0,1940.1721,-1.7359604
1940,3,4,6,1940.1728,-3.9292672
1940,3,4,12,1940.1735,-4.4701545
1940,3,4,18,1940.1742,-1.608178
1940,3,5,0,1940.1749,-3.4128861
1940,3,5,6,1940.1755,-3.9765292
1940,3,5,12,1940.1762,-4.0290425
1940,3,5,18,1940.1769,-1.6221816
1940,3,6,0,1940.1776,-1.8777464
1940,3,6,6,1940.1783,-2.5516675
1940,3,6,12,1940.179,-2.9700237
1940,3,6,18,1940.1796,0.52561364
1940,3,7,0,1940.1803,-1.5224062
1940,3,7,6,1940.181,-4.4491491
1940,3,7,12,1940.1817,-4.0517983
1940,3,7,18,1940.1824,1.8927107
1940,3,8,0,1940.1831,-0.38636786
1940,3,8,6,1940.1837,-1.6274329
1940,3,8,12,1940.1844,-2.7984801
1940,3,8,18,1940.1851,3.5941425
1940,3,9,0,1940.1858,0.60613408
1940,3,9,6,1940.1865,-1.8217322
1940,3,9,12,1940.1872,-3.5984332
1940,3,9,18,1940.1878,4.8299562
1940,3,10,0,1940.1885,-0.025776328
1940,3,10,6,1940.1892,-2.9017564
1940,3,10,12,1940.1899,-4.1760798
1940,3,10,18,1940.1906,-1.8514898
1940,3,11,0,1940.1913,-5.2350987
1940,3,11,6,1940.1919,-8.7272351
1940,3,11,12,1940.1926,-11.494688
